workflow_id,workflow_name,workflow_status,workflow_conclusion,workflow_duration_seconds,workflow_created_at,workflow_updated_at,commit_sha,commit_message,job_name,job_id,job_status,job_conclusion,job_duration_seconds,step_name,step_status,step_conclusion,step_duration_seconds,artifact_size_bytes,timestamp
26902992257,CI Pipeline,completed,failure,101.0,2026-06-03T17:54:09Z,2026-06-03T17:55:50Z,88460f1a,build: add .gitignore for build artifacts,Tests,79360191541,completed,failure,66.0,Set up job,completed,success,2.0,29356,2026-06-03T14:56:02.000892
26902992257,CI Pipeline,completed,failure,101.0,2026-06-03T17:54:09Z,2026-06-03T17:55:50Z,88460f1a,build: add .gitignore for build artifacts,Tests,79360191541,completed,failure,66.0,Checkout code,completed,success,2.0,29356,2026-06-03T14:56:02.000893
26902992257,CI Pipeline,completed,failure,101.0,2026-06-03T17:54:09Z,2026-06-03T17:55:50Z,88460f1a,build: add .gitignore for build artifacts,Tests,79360191541,completed,failure,66.0,Setup .NET,completed,success,0.0,29356,2026-06-03T14:56:02.000895
26902992257,CI Pipeline,completed,failure,101.0,2026-06-03T17:54:09Z,2026-06-03T17:55:50Z,88460f1a,build: add .gitignore for build artifacts,Tests,79360191541,completed,failure,66.0,Restore dependencies,completed,success,2.0,29356,2026-06-03T14:56:02.000896
26902992257,CI Pipeline,completed,failure,101.0,2026-06-03T17:54:09Z,2026-06-03T17:55:50Z,88460f1a,build: add .gitignore for build artifacts,Tests,79360191541,completed,failure,66.0,Dotnet restore,completed,success,6.0,29356,2026-06-03T14:56:02.000899
26902992257,CI Pipeline,completed,failure,101.0,2026-06-03T17:54:09Z,2026-06-03T17:55:50Z,88460f1a,build: add .gitignore for build artifacts,Tests,79360191541,completed,failure,66.0,Run tests,completed,failure,49.0,29356,2026-06-03T14:56:02.000901
26902992257,CI Pipeline,completed,failure,101.0,2026-06-03T17:54:09Z,2026-06-03T17:55:50Z,88460f1a,build: add .gitignore for build artifacts,Tests,79360191541,completed,failure,66.0,Upload test results,completed,success,1.0,29356,2026-06-03T14:56:02.000902
26902992257,CI Pipeline,completed,failure,101.0,2026-06-03T17:54:09Z,2026-06-03T17:55:50Z,88460f1a,build: add .gitignore for build artifacts,Tests,79360191541,completed,failure,66.0,Upload code coverage,completed,success,1.0,29356,2026-06-03T14:56:02.000904
26902992257,CI Pipeline,completed,failure,101.0,2026-06-03T17:54:09Z,2026-06-03T17:55:50Z,88460f1a,build: add .gitignore for build artifacts,Tests,79360191541,completed,failure,66.0,Post Restore dependencies,completed,skipped,0.0,29356,2026-06-03T14:56:02.000905
26902992257,CI Pipeline,completed,failure,101.0,2026-06-03T17:54:09Z,2026-06-03T17:55:50Z,88460f1a,build: add .gitignore for build artifacts,Tests,79360191541,completed,failure,66.0,Post Setup .NET,completed,skipped,0.0,29356,2026-06-03T14:56:02.000906
